Avances:
Acdiel 	 score: 35 	attempts: 235 	total_time: 562
Nikob1 	 score: 70 	attempts: 69 	total_time: 205
NivekNK 	 score: 70 	attempts: 41 	total_time: 123
OkitaDev 	 score: 60 	attempts: 194 	total_time: 301
Pipasoo 	 score: 45 	attempts: 31 	total_time: 139
prindoxx 	 score: 60 	attempts: 59 	total_time: 149
ribrl 	 score: 60 	attempts: 94 	total_time: 369
rilianx 	 score: -1 	attempts: 0 	total_time: 0
Sashiiii 	 score: 70 	attempts: 112 	total_time: 365
SebaVac 	 score: 50 	attempts: 98 	total_time: 214
shyp0 	 score: 70 	attempts: 216 	total_time: 359
Soulhae 	 score: 70 	attempts: 54 	total_time: 212
speedysw 	 score: 60 	attempts: 236 	total_time: 429
suazo-jara 	 score: 60 	attempts: 191 	total_time: 456
thetonijua 	 score: 60 	attempts: 165 	total_time: 464
TioPanxo 	 score: 70 	attempts: 39 	total_time: 193
UnaCuentaFalsaMas 	 score: 40 	attempts: 84 	total_time: 271
vicho-bece 	 score: 70 	attempts: 166 	total_time: 409
XTrAnE 	 score: 70 	attempts: 38 	total_time: 202
